Price,Company,TypeName,Ghz,Cpu-brand,Gpu-brand,Ram,OS,Weight,Touchscreen,Ips,Retina,PPI,Memory,HDD,SSD,Hybrid,Flash_Storage,PriceCategory
17155.627200000003,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Others,2.2,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
17262.72,Dell,Notebook,1.6,Other Intel Processor,Intel,4,Others,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
17316.0,Lenovo,Notebook,1.6,Other Intel Processor,Intel,4,Others,1.5,0,0,0,111.93520355955212,16,0,0,0,1,Entry
17529.12,Acer,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.6,0,0,0,157.3505121487356,32,0,0,0,1,Entry
17529.12,Lenovo,Notebook,1.6,Other Intel Processor,Intel,8,Others,2.2,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
17582.399999999998,HP,Notebook,1.5,AMD Processor,AMD,4,Windows,2.1,0,0,0,100.45466986113652,500,1,0,0,0,Entry
17582.399999999998,Acer,Notebook,1.6,Other Intel Processor,Intel,2,Others,1.68,0,0,0,111.93520355955212,32,0,0,0,1,Entry
17742.239999999998,Acer,Notebook,2.0,Other Intel Processor,Intel,4,Windows,2.1,0,0,0,100.45466986113652,500,1,0,0,0,Entry
18061.92,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.0,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
18061.92,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Others,1.9,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
18115.2,Asus,Netbook,1.1,Other Intel Processor,Intel,4,Windows,1.2,0,0,0,135.0942111925629,64,0,0,0,1,Entry
18328.32,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.0,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
18328.32,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.2,0,0,0,141.21199808219862,500,1,0,0,0,Entry
18381.0672,HP,Notebook,2.0,Intel Core i3,Intel,4,Others,1.86,0,0,0,141.21199808219862,500,1,0,0,0,Entry
18434.3472,HP,Notebook,2.0,Intel Core i3,Intel,4,Others,1.86,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
18488.16,HP,Notebook,1.6,Other Intel Processor,Intel,4,Windows,2.1,0,0,0,100.45466986113652,500,1,0,0,0,Entry
